Question,Option,Answer,Explanation;
"1,1,,""Hinweis: In manchen europäischen Ländern sind gewisse Inhalte von Webseiten wie YouTube, Vimeo, etc. wegen Urheberrechtsverletzungen nicht erreichbar. Bitte schreibe über deine eigenen Erfahrungen mit dieser Art von Problemen, mit der Angabe, in welchen Ländern so etwas vorgekommen ist.""";
"58,1,,""Hinweis: Da die normale Benutzung des Internets teilen, fördern und remixen von Content beinhaltet, befandest du dich vielleicht schon einmal in einer Situation, in der du nicht genau wusstest, wie du mit den Copyrightbestimmungen umzugehen hattest.""";
"80,1,,""Hinweis: Warum glaubst du, dass es im 21. Jahrhundert notwendig ist, Informationen und Wissen zu teilen? Hält dich die Angst vor möglichen rechtlichen Konsequenzen davon ab, nützliche Inhalte zu teilen? Wie sollte das Urheberrecht deiner Ansicht nach mit Kopierschutzma�nahmen wie DRM umgehen, die das Recht der Verbraucher auf Privatkopieren praktisch abschaffen? Bitte erläutere deine Erfahrungen damit.""";
"13,1,,""Hinwes: In der Regel gibt es beim Kauf von Musik, Filmen, eBooks usw. im Internet Einschränkungen, beispielsweise in Form von DRM, die es verbieten, die erworbenen Inhalte weiterzugeben oder weiterzuverkaufen. Gib uns Beispiele, wo dir das passiert ist.""";
"64,1,,""Hinweis: Einige Beschränkungen verletzten das Recht auf Privatkopie und private Vervielfältigung, das du offline hast. Wenn du der Meinung bist, das klargestellt werden sollte, dass diese Rechte auch online gelten, kannst du das hier angeben.""";
"21,1,,""Hinweis: Bestimmte Anbieter wie Netflix, Spotify oder Hulu sind nur in bestimmten europäischen Ländern erreichbar, weil die Firmen sich mit den Urheberrechtsgesetzen auf nationaler Ebene auseinandersetzen müssen. Hier kannst du ein Beispiel geben, wo dir das begegnet ist. Bist du der Meinung, dass das problematisch ist? Sollten die Urheberrechtsgesetze auf EU-Ebene standardisiert werden?""";
"23,1,,""Hinweis: Einige Anwendungsbeispiele, die uns natürlich erscheinen, können im Bezug auf das Urheberrecht schnell kompliziert werden – zum Beispiel das Erschaffen Remixes und Hommagen oder wenn man nicht-kommerzielles Filesharing und nicht-kommerzielles Streaming betreibt. Wenn du der Meinung bist, dass neue Schranken für das Urheberrecht in solchen Fällen eingeführt werden sollten, dann sage das bitte und teile deine Erfahrungen.""";
"72,1,,""Hinweis: Welche Art von Inhalten wurde „gestohlen“? Und wie solltest du entschädigt werden?""";
"74,1,,""Hinweis Wie glaubst du, könnte es funktionieren?""";
"22,1,,""Hinweis: Die meisten in den EU Urheberrechts-Richtlinien vorgesehenen Einschränkungen und Ausnahmen sind für die Mitgliedstaaten nicht verpflichtend. Sollte es eine EU-weite Richtlinie geben? Was denkst du? Erläutere bitte, indem du dich auf konkrete Fälle beziehst.""";
"77,1,,""Hinweis: Erläutere deine Erfahrungen damit, wie der Schutz der Bürger-Interessen weniger wichtig schien als die Durchsetzung des Urheberrechtes. Wenn möglich, gib Beispiele.""";
"11,2,,""Hinweis: Links sind die Schlüsselelemente des Internets. Sollten Menschen für das Verlinken von urheberrechtlich geschütztem Material verantwortlich sein? Ja, immer / Nur in manchen Fällen  /  Nein, niemals? Warum? (z. B. weil es sich nicht um eine öffentliche – oder neu veröffentlichte – Wiedergabe handelt";" oder weil das Material einer Urheberrechtsausnahme unterliegen sollte)"""
