Question,Option,Answer,Explanation
1,1,,"Wskazówka: W krajach europejskich niektóre treści ze stron udostępniających wideo, jak np. YouTube, Vimeo itp. są niedostępne ze względu na naruszenie praw autorskich. Opisz proszę swoje doświadczenia z problemami tego rodzaju i wymień strony na których na nie napotkałeś/napotkałaś"
58,1,,"Wskazówka: Jako, że użytkowanie internetu w normalny sposób zdecydowanie oznacza również udostępnianie, poprawianie i remixowanie treści, może natrafiłeś/natrafiłaś na sytuację w której nie miałeś/miałaś pewności jak należy postępować jeśli chodzi o prawo autorskie?"
80,1,,"Wskazówka: Dlaczego myślisz, że udostępnianie informacji i wiedzy online jest niezbędne w XXI wieku? Czy obawa przed potencjalnymi konsekwencjami prawnymi powoduje, że nie rozpowszechniasz wartościowych treści? Opisz swoje doświadczenia w tej sprawie."
13,1,,"Wskazówka: W większości przypadków, gdy kupujesz muzykę, filmy, e-booki itp. przez internet, jest stosowane jakieś zabezpieczenie, jak DRM, które zakazuje przekazywania lub sprzedaży treści które zostały zakupione. Podaj przykłady sytuacji w których Cię to spotkało."
64,1,,"Wskazówka: Niektóre z tych ograniczeń naruszają prawa do prywatnego kopiowania i reprografii, które funkcjonują offline. Jeśli uważasz, że to powinno zostać doprecyzowane i że one powinny funkcjonować również online, wyjaśnij swoje zdanie."
21,1,,"Wskazówka: Wielka Brytania nie ma wyjątku pozwalającego na prywatne kopiowanie, inne kraje członkowskie mają takie zapisy. To oznacza, że działanie, które jest w pełni legalne w Hiszpanii czy Holandii jest przestępstwem w Wielkiej Brytanii. Finlandia stosuje wyjątki dla parodii, co oznacza, że dzieło które jest legalne w Niemczech może być nielegalne w Finlandii. Podaj przykłady w których spotkałeś/spotkałaś się z takimi problemami."
23,1,,"Wskazówka: Niektóre sposoby użycia treści, które wydają się nam naturalne okazują się być dość skomplikowane w kontekście prawa autorskiego – na przykład tworzenie utworów zależnych/przekształcanie utworów (remixy, tworzenie utworów w hołdzie artystom itp.). Jeśli uważasz, że w prawie autorskim powinno znaleźć się ograniczenie wyłączające tego typu przypadki, wyraź to i opisz swoje doświadczenia w podobnych sprawach."
72,1,,"Wskazówka: Jakiego rodzaju treści zostały 'ukradzione'? W jaki sposób powinno to zostać wynagrodzone?"
74,1,,"Wskazówka: W jaki sposób wg Ciebie to powinno funkcjonować?"
20,2,,"Wskazówka: Co sądzisz na ten temat? Czy czas ochrony praw powinien być dłuższy czy krótszy?"
22,1,,"Wskazówka: Większość ograniczeń i wyjątków stosowana w dyrektywach UE na temat prawa autorskiego jest opcjonalna dla krajów członkowskich. Czy powinna powstać regulacja obejmująca całą UE? Co sądzisz na ten temat? Wyjaśnij to proszę poprzez odniesienia do konkretnych przykładów."
15,1,,""
77,1,,"Wskazówka: Opisz swoje doświadczenia na podstawie których uważasz, że ochrona interesu obywateli wydawała się mniej istotna niż wcielanie w życie prawa autorskiego. Jeśli to możliwe, podaj przykłady."
11,2,,"Wskazówka: Linki (łącza) są kluczowym elementem internetu. Czy ludzie powinni być odpowiedzialni za linkowanie do materiałów objętych prawami autorskimi? Tak, zawsze / tylko czasami / nie, nigdy? Dlaczego? (np. ponieważ linkowanie nie jest tym samym co publiczne rozpowszechnianie utworu, albo przynajmniej nie tym samym co rozpowszechnianie go wśród nowej publiczności; albo: powinno to zostać uregulowane wyjątkiem do prawa autorskiego)"
