Question,Option,Answer,Explanation
1,1,,"Indiciu: In tarile europene, anumite continuturi de pe websiteuri ca YouTube, Vimeo, etc. nu este accesibile din cauza reglementarilor legii Dreptului de Autor. Te rugam sa impartasesti experientele tale cu astfel de probleme (mentioneaza in ce tara si cu ce website ai avut astfel de probleme)."
58,1,,"Indiciu: Cum folosirea internetul prevede implicit distribuirea, imbunatatirea si mixajul continutului, se poate sa fi intalnit o situatie in care nu iti era clar cum sa procedezi in privinta protectiei impuse de reglementarile Dreptului de Autor."
80,1,,"Indiciu: De ce crezi ca in secolul 21 este necesara impartasirea de informatie si cunostine in mediul online? Consideri ca frica de potentiale consecinte legale te impiedica sa distribui continut folositor pe internet? Te rog explica ce experiente ai in privinta acestui fapt."
13,1,,"Indiciu: De cele mai multe ori cand achizitionezi muzica, filme, carti digitale, etc. pe internet, acestea vor fi protejate de o restrictie precum DRM care interzice transferul sau comercializarea continutului pe care l-ai achizitionat. Da-ne niste exemple cand acest lucru ti s-a intamplat si tie."
64,1,,"Indiciu: Unele restrictii din legea Dreptului de Autor contrazic legile de copiere si reprografiere indreptatite in spatiul offline. Daca crezi ca aceste legi ar trebui aplicate si in spatiul online, te rog sa ne explici aici."
21,1,,"Indiciu: Anumite servicii ca Netflix, Spotify sau Hulu sunt disponibile doar in anumite tari europene din cauza faptului ca respectivele companii trebuie sa respecte reglementarile Dreptului de Autor din tarile respective. Indica niste exemple cand acest lucru ti s-a intamplat si tie. Ti se pare ca acesta este un subiect problematic? Ar trebui ca aceste directive de Copyright/Drept de Autor sa fie standardizate la nivel european?"
23,1,,"Indiciu: Unele formate media care noua ni se par firesti, sunt defapt destul de complexe in privinta legilor de Copyright/Drept de Autor ce li se aplica - de exemplu folosirea derivata/transformata a continutului media (remixuri, omagii, etc.). Daca crezi ca ar trebui adaugata o limitare legii actuale privind Dreptul de Autor care sa prevada astfel de cazuri, te rugam sa iti exprimi parerea si sa impartasesti experientele tale aici."
72,1,,"Indiciu: Ce fel de continut ti-a fost furat? Cum crezi ca ar trebui sa fii compensat?"
74,1,,"Indiciu: Cum crezi ca ar trebui sa functioneze aceste reguli?"
20,2,,"Hint: What do you think? Should the protection terms be longer or shorter?"
22,1,,"Indiciu: Majoritatea limitarilor si exceptiilor prevazute in directivele Dreptului de Autor din UE sunt optionale pentru statele membre. Consideri ca ar trebui sa existe o lege unitara la nivel UE? Te rog explica prin referinta la cazuri specifice."
15,1,,""
77,1,,"Indiciu: Explica propria ta experienta ce demonstreaza ca protejarea drepturilor cetatenesti pare mai putin importanta decat protejarea Dreptului de Autor - daca este posibil, exemplifica."
11,2,,"Indiciu: Linkurile sunt elementele de baza a internetului. Crezi ca ar trebui ca oamenii sa fie raspunzatori pentru faptul ca impartasesc linkuri ce duc spre material protejat de drepturile de autor? Da, intotdeauna / Doar in unele cazuri / Nu, niciodata? De ce crezi asta? (ex. pentru ca un link nu poate fi considerat ca un act de comunicare cu publicul sau cu un public nou, sau pentru ca linkurile ar trebui sa fie protejate de o exceptie a legii Dreptului de Autor)"
